Zone,AreaName,TimePeriod,Source,Nb,Sector,Subsector,Indicator_metadata,Unit,SubgroupDimension,Subgroup,DataValue
0,Indonesia,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,71.85
1100,Aceh,2018,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,75
1101,Simeulue,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,65.48
1102,Aceh Singkil,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,67.65
1103,Aceh Selatan,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,64.64
1104,Aceh Tenggara,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,68.48
1105,Aceh Timur,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,68.94
1106,Aceh Tengah,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,69.05
1107,Aceh Barat,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,68.19
1108,Aceh Besar,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,69.99
1109,Pidie,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,67.15
1110,Bireuen,2022,Biro Pusat Statistik (BPS): Susenas (National Socio-Economic Survey),152a,5. Diets and nutrition,5. Nutrition and health outcomes,Life expectancy rate at birth,Year,Total,Total,71.48
